,Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,team
0,Nelson Insfrán,ar ARG,GK,28-285,8,8,720,8.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,GimnasiaELP
1,Pablo de Blasis,ar ARG,MF,36-029,8,8,662,7.4,1,1,2,0,1,1,2,0,0.9,0.1,1.5,1.6,7,49,19,0.14,0.14,0.27,0.00,0.14,0.12,0.20,0.32,0.01,0.21,Matches,GimnasiaELP
2,Rodrigo Saravia,uy URU,MF,23-200,8,8,660,7.3,1,0,1,1,0,0,2,0,0.5,0.5,0.1,0.6,3,20,10,0.14,0.00,0.14,0.14,0.14,0.07,0.01,0.08,0.07,0.08,Matches,GimnasiaELP
3,Benjamín Domínguez,ar ARG,"MF,FW",20-167,8,8,637,7.1,3,0,3,3,0,0,1,0,1.2,1.2,0.4,1.6,16,12,42,0.42,0.00,0.42,0.42,0.42,0.17,0.05,0.22,0.17,0.22,Matches,GimnasiaELP
4,Juan Pintado,uy URU,DF,29-220,7,7,613,6.8,0,0,0,0,0,0,1,0,0.0,0.0,0.3,0.3,22,24,20,0.00,0.00,0.00,0.00,0.00,0.00,0.05,0.05,0.00,0.05,Matches,GimnasiaELP
5,Yonathan Cabral,ar ARG,DF,31-299,7,7,598,6.6,1,0,1,1,0,0,2,1,0.1,0.1,0.0,0.1,3,20,0,0.15,0.00,0.15,0.15,0.15,0.02,0.00,0.02,0.02,0.02,Matches,GimnasiaELP
6,Leonardo Morales,ar ARG,DF,32-328,7,7,580,6.4,0,0,0,0,0,0,3,0,0.2,0.2,0.3,0.5,3,20,1,0.00,0.00,0.00,0.00,0.00,0.03,0.04,0.08,0.03,0.08,Matches,GimnasiaELP
7,Gustavo Canto,ar ARG,DF,30-008,5,5,400,4.4,0,0,0,0,0,0,2,2,0.0,0.0,0.0,0.0,4,15,5,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.00,0.01,Matches,GimnasiaELP
8,Ivo Mammini,ar ARG,FW,20-324,8,4,429,4.8,1,0,1,1,0,0,2,0,1.2,1.2,0.5,1.7,4,6,31,0.21,0.00,0.21,0.21,0.21,0.26,0.10,0.36,0.26,0.36,Matches,GimnasiaELP
9,Matías Abaldo,uy URU,"MF,FW",19-336,5,4,356,4.0,0,1,1,0,0,0,0,1,0.5,0.5,0.7,1.1,14,12,27,0.00,0.25,0.25,0.00,0.25,0.12,0.17,0.29,0.12,0.29,Matches,GimnasiaELP
10,Cristian Colmán,py PAR,FW,30-007,6,4,345,3.8,1,2,3,1,0,0,0,0,1.1,1.1,1.2,2.3,2,6,19,0.26,0.52,0.78,0.26,0.78,0.29,0.31,0.60,0.29,0.60,Matches,GimnasiaELP
11,Erik Ramírez,ar ARG,"FW,MF",27-165,7,4,332,3.7,0,1,1,0,0,0,0,0,,,,,,,,0.00,0.27,0.27,0.00,0.27,,,,,,Matches,GimnasiaELP
12,Federico Milo,ar ARG,DF,32-054,5,2,241,2.7,0,0,0,0,0,0,1,0,0.1,0.1,0.1,0.2,6,7,8,0.00,0.00,0.00,0.00,0.00,0.04,0.03,0.08,0.04,0.08,Matches,GimnasiaELP
