,Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,team
0,Hernán Galíndez,ec ECU,GK,36-345,9,9,810,9.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,CAHuracan
1,William Alarcón,cl CHI,MF,23-110,9,9,787,8.7,2,2,4,2,0,0,1,0,0.3,0.3,1.6,2.0,13,73,14,0.23,0.23,0.46,0.23,0.46,0.04,0.19,0.23,0.04,0.23,Matches,CAHuracan
2,Héctor Fértoli,ar ARG,"MF,FW",29-097,9,9,690,7.7,0,1,1,0,0,0,1,0,0.1,0.1,1.1,1.3,18,21,53,0.00,0.13,0.13,0.00,0.13,0.01,0.15,0.16,0.01,0.16,Matches,CAHuracan
3,Rodrigo Echeverría,cl CHI,MF,28-327,8,8,674,7.5,0,0,0,0,0,0,3,1,0.4,0.4,0.1,0.5,4,25,2,0.00,0.00,0.00,0.00,0.00,0.05,0.02,0.07,0.05,0.07,Matches,CAHuracan
4,Fernando Tobio,ar ARG,DF,34-143,8,8,615,6.8,0,0,0,0,0,0,3,0,0.1,0.1,0.0,0.1,2,10,1,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.02,0.02,0.02,Matches,CAHuracan
5,Walter Mazzantti,ar ARG,"MF,FW",27-186,8,8,564,6.3,2,0,2,2,0,0,1,0,1.4,1.4,0.1,1.5,14,8,30,0.32,0.00,0.32,0.32,0.32,0.22,0.01,0.24,0.22,0.24,Matches,CAHuracan
6,Lucas Carrizo,ar ARG,DF,26-294,7,7,621,6.9,0,0,0,0,0,0,3,1,0.1,0.1,0.1,0.2,3,20,2,0.00,0.00,0.00,0.00,0.00,0.02,0.01,0.02,0.02,0.02,Matches,CAHuracan
7,Ignacio Pussetto,ar ARG,FW,28-079,8,6,551,6.1,1,0,1,1,0,0,2,0,0.9,0.9,0.8,1.6,12,14,39,0.16,0.00,0.16,0.16,0.16,0.14,0.13,0.27,0.14,0.27,Matches,CAHuracan
8,César Ibáñez,ar ARG,DF,24-266,6,6,514,5.7,0,0,0,0,0,0,2,0,0.1,0.1,0.1,0.2,7,14,18,0.00,0.00,0.00,0.00,0.00,0.02,0.01,0.03,0.02,0.03,Matches,CAHuracan
9,Hernán De La Fuente,ar ARG,DF,27-062,8,5,556,6.2,1,0,1,1,0,0,0,0,0.6,0.6,0.9,1.6,12,12,20,0.16,0.00,0.16,0.16,0.16,0.10,0.15,0.25,0.10,0.25,Matches,CAHuracan
10,Leandro Garate,ar ARG,FW,30-189,8,4,419,4.7,0,0,0,0,0,0,1,0,1.9,1.9,0.2,2.0,5,7,16,0.00,0.00,0.00,0.00,0.00,0.40,0.03,0.43,0.40,0.43,Matches,CAHuracan
11,Alan Soñora,us USA,"MF,FW",25-219,5,4,287,3.2,0,1,1,0,0,0,1,0,0.3,0.3,0.4,0.6,7,19,14,0.00,0.31,0.31,0.00,0.31,0.08,0.11,0.19,0.08,0.19,Matches,CAHuracan
12,Lucas Souto,ar ARG,DF,25-150,4,4,200,2.2,0,0,0,0,0,0,1,1,0.0,0.0,0.1,0.1,9,11,5,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.03,0.00,0.03,Matches,CAHuracan
13,Franco Alfonso,ar ARG,"MF,FW",21-310,8,3,302,3.4,0,0,0,0,0,0,3,0,0.2,0.2,0.4,0.6,6,6,14,0.00,0.00,0.00,0.00,0.00,0.07,0.12,0.19,0.07,0.19,Matches,CAHuracan
14,Fabio Pereyra,ar ARG,DF,34-038,5,3,297,3.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,5,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,CAHuracan
15,Guillermo Benítez,ar ARG,DF,30-092,4,3,290,3.2,0,0,0,0,0,0,2,0,0.2,0.2,0.0,0.3,3,11,10,0.00,0.00,0.00,0.00,0.00,0.07,0.01,0.09,0.07,0.09,Matches,CAHuracan
16,Andrés Roa,co COL,"FW,MF",30-289,3,2,111,1.2,0,0,0,0,0,0,1,0,0.1,0.1,0.0,0.2,4,5,11,0.00,0.00,0.00,0.00,0.00,0.11,0.02,0.13,0.11,0.13,Matches,CAHuracan
17,Agustín Toledo,ar ARG,MF,24-008,2,1,111,1.2,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,1,8,0,0.00,0.00,0.00,0.00,0.00,0.09,0.00,0.09,0.09,0.09,Matches,CAHuracan
